City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Date
183,Abashiri,JP,44.02,144.27,53.76,77,100,4.63,light rain,2020-08-30 15:40:45
184,Cameron Park,US,38.67,-120.99,72.0,62,0,3.0,clear sky,2020-08-30 15:37:10
185,Lebu,CL,-37.62,-73.65,49.19,64,0,20.11,clear sky,2020-08-30 15:40:46
186,The Valley,AI,18.22,-63.06,87.8,70,40,18.34,haze,2020-08-30 15:36:13
187,Finschhafen,PG,-6.6,147.87,79.3,73,46,8.97,scattered clouds,2020-08-30 15:40:46
188,Menongue,AO,-14.66,17.69,84.16,16,8,8.08,clear sky,2020-08-30 15:40:47
189,Uyemskiy,RU,64.47,40.85,51.8,93,90,11.18,overcast clouds,2020-08-30 15:40:47
190,Norman Wells,CA,65.28,-126.83,44.6,75,75,3.36,broken clouds,2020-08-30 15:40:47
191,Monte Gordo,PT,37.18,-7.45,78.8,39,0,12.75,clear sky,2020-08-30 15:40:47
192,Mount Gambier,AU,-37.83,140.77,44.6,81,40,8.05,scattered clouds,2020-08-30 15:40:48
193,Lannion,FR,48.75,-3.42,60.8,72,20,10.29,few clouds,2020-08-30 15:40:48
194,Clyde River,CA,70.47,-68.59,48.2,87,90,6.93,overcast clouds,2020-08-30 15:40:48
195,Mlowo,TZ,-9.0,32.98,72.21,29,8,6.17,clear sky,2020-08-30 15:40:48
196,Touros,BR,-5.2,-35.46,84.2,62,40,13.87,scattered clouds,2020-08-30 15:38:05
197,Thompson,CA,55.74,-97.86,51.8,100,90,5.82,overcast clouds,2020-08-30 15:40:49
198,Hamilton,US,39.18,-84.53,75.99,53,1,4.7,clear sky,2020-08-30 15:31:02
199,Mount Isa,AU,-20.73,139.5,75.2,33,0,9.17,clear sky,2020-08-30 15:36:13
200,Torbay,CA,47.67,-52.73,60.01,93,90,24.16,moderate rain,2020-08-30 15:40:49
201,Kidal,ML,18.44,1.41,90.05,47,84,13.2,broken clouds,2020-08-30 15:40:50
202,Manokwari,ID,-0.87,134.08,80.58,69,78,4.29,broken clouds,2020-08-30 15:40:50
203,Nikki,BJ,9.94,3.21,75.11,90,97,5.88,light rain,2020-08-30 15:40:50
204,Buala,SB,-8.14,159.59,81.12,83,34,9.93,scattered clouds,2020-08-30 15:40:50
205,Kedrovyy,RU,56.17,91.82,59.0,87,40,8.95,light intensity shower rain,2020-08-30 15:40:51
206,Pacific Grove,US,36.62,-121.92,59.0,82,90,1.72,haze,2020-08-30 15:40:51
207,Mutare,ZW,-18.97,32.67,78.64,20,0,6.04,clear sky,2020-08-30 15:40:51
208,Iqaluit,CA,63.75,-68.51,46.4,75,20,4.7,few clouds,2020-08-30 15:40:51
209,Concordia,AR,-31.39,-58.02,55.4,58,91,16.11,overcast clouds,2020-08-30 15:40:52
210,Pucallpa,PE,-8.38,-74.55,86.0,66,20,3.36,few clouds,2020-08-30 15:40:52
211,Helong,CN,42.54,129.0,62.37,90,77,1.9,broken clouds,2020-08-30 15:40:52
